TreeRepresentative	ClusterID	GenomeID	Contig	ID	strand	start	end	DefenseSystem	Feature_type	gene	genomad_specificity_class	HMM_Annot_IDs	product_description	PlotLabel	fill
WP_012656144.1	VI	GCF_000010585.1	NC_011999.1	WP_012656133.1	+	219460	220257	NA	CDS	NA	CP	PF02361;COG0619;K16783;TIGR02454;PF02361;COG0619;K16785;TIGR02454;PF02361;COG0619;TIGR02454;K16783;PF02361;K02008;COG0619;TIGR02454;PF02361;K16783;COG0619;TIGR02454;PF02361;K16785;COG0619;TIGR02454	Cobalt transport protein;Energy-coupling factor transporter transmembrane protein EcfT	PF02361	else
WP_012656144.1	VI	GCF_000010585.1	NC_011999.1	WP_012656134.1	+	220267	221088	NA	CDS	truA	CP	PF01416;COG0101;TIGR00071;K15452;PF01416;TIGR00071;COG0101;K15452	tRNA pseudouridine(38-40) synthase;tRNA U38,U39,U40 pseudouridine synthase TruA	truA	else
WP_012656144.1	VI	GCF_000010585.1	NC_011999.1	WP_012656135.1	+	221273	221710	NA	CDS	rplM	CV	PF00572;K02871;COG0102;TIGR01066	Ribosomal protein L13	rplM	else
WP_012656144.1	VI	GCF_000010585.1	NC_011999.1	WP_012656136.1	+	221730	222122	NA	CDS	rpsI	CV	PF00380;COG0103;TIGR03627;K02960;PF00380;K02960;COG0103;TIGR03627	Ribosomal protein S9	rpsI	else
WP_012656144.1	VI	GCF_000010585.1	NC_011999.1	WP_012656137.1	-	222232	222729	NA	CDS	NA	CP	PF09970;COG4914;PF14907;COG4914	Nucleotidyl transferase of unknown function (DUF2204);Uncharacterised nucleotidyltransferase	PF09970;COG4914;PF14907;COG4914	else
WP_012656144.1	VI	GCF_000010585.1	NC_011999.1	WP_012656138.1	-	222741	223907	NA	CDS	NA	NA	PF00589;PF14657;PF14659	tyrosine-type recombinase/integrase	PF00589;PF14657;PF14659	integrase
WP_012656144.1	VI	GCF_000010585.1	NC_011999.1	WP_012656139.1	-	223946	224758	NA	CDS	NA	NA	PF13443	helix-turn-helix domain-containing protein	PF13443	else
WP_012656144.1	VI	GCF_000010585.1	NC_011999.1	WP_050742417.1	+	224915	225190	NA	CDS	NA	NA	NA	helix-turn-helix domain-containing protein	helix-turn-helix domain-containing protein	else
WP_012656144.1	VI	GCF_000010585.1	NC_011999.1	WP_012656140.1	+	225171	226220	NA	CDS	NA	NA	PF09524	conserved phage C-terminal domain-containing protein	PF09524	else
WP_012656144.1	VI	GCF_000010585.1	NC_011999.1	WP_041635773.1	+	226540	226812	NA	CDS	NA	NA	NA	hypothetical protein	hypothetical protein	else
WP_012656144.1	VI	GCF_000010585.1	NC_011999.1	WP_012656141.1	+	226815	227165	NA	CDS	NA	NA	NA	hypothetical protein	hypothetical protein	else
WP_012656144.1	VI	GCF_000010585.1	NC_011999.1	WP_269446089.1	+	227314	227436	NA	CDS	NA	NA	NA	hypothetical protein	hypothetical protein	else
WP_012656144.1	VI	GCF_000010585.1	NC_011999.1	WP_041635774.1	+	227781	227996	NA	CDS	NA	NA	PF13443	helix-turn-helix domain-containing protein	PF13443	else
WP_012656144.1	VI	GCF_000010585.1	NC_011999.1	WP_012656142.1	+	227997	229874	RM_type_III	CDS	NA	NA	PF01555;PF18273	MTase_III	MTase_III	RM_type_III
WP_012656144.1	VI	GCF_000010585.1	NC_011999.1	WP_012656143.1	+	229877	232843	RM_type_III	CDS	NA	NA	PF04851;PF19778	REase_III	REase_III	RM_type_III
WP_012656144.1	VI	GCF_000010585.1	NC_011999.1	WP_012656144.1	+	232867	236499	tmn	CDS	NA	NA	PF20693	Tmn	Tmn	tmn
WP_012656144.1	VI	GCF_000010585.1	NC_011999.1	MCCL_RS12580	+	236721	236780	NA	CDS	rpsI	NA	NA	30S ribosomal protein S9	rpsI	else
WP_012656144.1	VI	GCF_000010585.1	NC_011999.1	WP_012656145.1	+	236934	237893	NA	CDS	NA	NA	PF00665;PF13936	IS30 family transposase	PF00665;PF13936	else
WP_012656144.1	VI	GCF_000010585.1	NC_011999.1	WP_012656146.1	-	237827	238297	NA	CDS	NA	PC	PF07299	Elongation factor G-binding protein, N-terminal	PF07299	else
WP_012656144.1	VI	GCF_000010585.1	NC_011999.1	WP_012656147.1	-	238845	239984	Dodola	CDS	NA	NA	PF07724	DolB	DolB	Dodola
WP_012656144.1	VI	GCF_000010585.1	NC_011999.1	WP_012656148.1	-	239984	240826	Dodola	CDS	NA	PV	PF19952	DolA	DolA	Dodola
WP_012656144.1	VI	GCF_000010585.1	NC_011999.1	WP_012656149.1	-	241184	241744	NA	CDS	NA	NA	PF10706	nucleotidyltransferase domain-containing protein	PF10706	else
WP_012656144.1	VI	GCF_000010585.1	NC_011999.1	MCCL_RS01260	-	242069	242479	NA	CDS	NA	NA	NA	IS30 family transposase	IS30 family transposase	else
WP_012656144.1	VI	GCF_000010585.1	NC_011999.1	WP_083754243.1	+	242715	244760	NA	CDS	copB	NA	PF00122;PF00702	copper-translocating P-type ATPase CopB	copB	else
WP_012656144.1	VI	GCF_000010585.1	NC_011999.1	MCCL_RS12030	+	244785	245457	NA	CDS	NA	NA	NA	multicopper oxidase domain-containing protein	multicopper oxidase domain-containing protein	else
WP_012656144.1	VI	GCF_000010585.1	NC_011999.1	WP_012656152.1	+	245512	246054	NA	CDS	NA	PC	PF07563	YdhK family protein	PF07563	else
WP_012656144.1	VI	GCF_000010585.1	NC_011999.1	WP_012656153.1	-	246319	246795	NA	CDS	NA	NA	NA	hypothetical protein	hypothetical protein	else
WP_012656144.1	VI	GCF_000010585.1	NC_011999.1	WP_012656154.1	+	246922	247929	NA	CDS	NA	NA	PF02016;PF17676	S66 family peptidase	PF02016;PF17676	else
WP_012656144.1	VI	GCF_000010585.1	NC_011999.1	WP_012656155.1	+	248194	248679	NA	CDS	NA	NA	PF13673	GNAT family N-acetyltransferase	PF13673	else
WP_012656144.1	VI	GCF_000010585.1	NC_011999.1	WP_012656156.1	+	248910	249260	NA	CDS	NA	NA	PF13564	DoxX family protein	PF13564	else
WP_012656144.1	VI	GCF_000010585.1	NC_011999.1	WP_012656157.1	+	249379	250590	NA	CDS	NA	NA	PF00724	NADH:flavin oxidoreductase/NADH oxidase family protein	PF00724	else
WP_011342191.1	V	GCF_000012885.1	NC_007498.2	WP_011342179.1	+	2840524	2841714	NA	CDS	NA	NA	PF00202	acetylornithine transaminase	PF00202	else
WP_011342191.1	V	GCF_000012885.1	NC_007498.2	WP_011342180.1	+	2841772	2842680	NA	CDS	argF	CP	PF00185;PF02729	ornithine carbamoyltransferase	argF	else
WP_011342191.1	V	GCF_000012885.1	NC_007498.2	WP_011342181.1	+	2842700	2843512	NA	CDS	NA	CP	PF06271;COG1714	RDD family	PF06271;PF13717	else
WP_011342191.1	V	GCF_000012885.1	NC_007498.2	WP_011342182.1	+	2843653	2844873	NA	CDS	NA	CP	PF00764;TIGR00032;K01940;COG0137	argininosuccinate synthase	PF00764;PF20979	else
WP_011342191.1	V	GCF_000012885.1	NC_007498.2	WP_011342183.1	+	2845082	2846467	NA	CDS	argH	NA	PF00206;PF14698	argininosuccinate lyase	argH	else
WP_011342191.1	V	GCF_000012885.1	NC_007498.2	WP_011342184.1	+	2846470	2847258	NA	CDS	NA	NA	NA	fibronectin type III domain-containing protein	fibronectin type III domain-containing protein	else
WP_011342191.1	V	GCF_000012885.1	NC_007498.2	WP_011342185.1	+	2847352	2848605	NA	CDS	lysA	NA	PF00278;PF02784	diaminopimelate decarboxylase	lysA	else
WP_011342191.1	V	GCF_000012885.1	NC_007498.2	WP_011342186.1	+	2848675	2849556	NA	CDS	dapA	NA	PF00701	4-hydroxy-tetrahydrodipicolinate synthase	dapA	else
WP_011342191.1	V	GCF_000012885.1	NC_007498.2	WP_011342187.1	+	2849582	2850385	NA	CDS	dapB	CP	PF05173;PF01113;K16908;TIGR02130;COG0289	dihydrodipicolinate reductase	dapB	else
WP_011342191.1	V	GCF_000012885.1	NC_007498.2	WP_011342188.1	+	2850529	2851761	NA	CDS	NA	CP	PF12897;TIGR03542;K08969;COG1168	LL-diaminopimelate aminotransferase	PF00155	else
WP_011342191.1	V	GCF_000012885.1	NC_007498.2	WP_011342189.1	+	2851980	2852816	NA	CDS	NA	CP	PF08538;TIGR01607;COG0429;K06889	Plasmodium subtelomeric family (PST-A)	PF12146	else
WP_011342191.1	V	GCF_000012885.1	NC_007498.2	WP_011342190.1	-	2853223	2854692	NA	CDS	NA	NA	PF01609	IS4 family transposase	PF01609	else
WP_011342191.1	V	GCF_000012885.1	NC_007498.2	WP_011342191.1	+	2854837	2858448	tmn	CDS	NA	NA	PF20693	Tmn	Tmn	tmn
WP_011342191.1	V	GCF_000012885.1	NC_007498.2	WP_011342192.1	+	2858925	2860106	NA	CDS	NA	NA	PF00871	acetate/propionate family kinase	PF00871	else
WP_011342191.1	V	GCF_000012885.1	NC_007498.2	WP_011342193.1	+	2860255	2860923	NA	CDS	NA	CP	PF01902;TIGR00290;COG2102;PF01902;TIGR00290;COG2102;K19783	MJ0570-related uncharacterized domain	PF01902	else
WP_011342191.1	V	GCF_000012885.1	NC_007498.2	WP_041531380.1	-	2861005	2861403	NA	CDS	NA	NA	NA	hypothetical protein	hypothetical protein	else
WP_011342191.1	V	GCF_000012885.1	NC_007498.2	WP_011342195.1	+	2861647	2862567	NA	CDS	cysK	NA	PF00291	cysteine synthase A	cysK	else
WP_011342191.1	V	GCF_000012885.1	NC_007498.2	WP_011342196.1	+	2862605	2863426	NA	CDS	larE	CP	PF02540;K06864;COG1606;TIGR00268	ATP-utilizing enzyme, PP-loop superfamily	larE	else
WP_011342191.1	V	GCF_000012885.1	NC_007498.2	WP_011342197.1	+	2863514	2863942	NA	CDS	NA	CC	PF20587;COG3477	Conserved membrane protein YqhR	PF20587;COG3477	else
WP_011342191.1	V	GCF_000012885.1	NC_007498.2	WP_011342198.1	+	2863939	2864451	NA	CDS	NA	NA	PF00565	thermonuclease family protein	PF00565	else
WP_011342191.1	V	GCF_000012885.1	NC_007498.2	WP_011342199.1	-	2864498	2865085	NA	CDS	NA	NA	PF10035;PF18955	DUF2179 domain-containing protein	PF10035;PF18955	else
WP_011342191.1	V	GCF_000012885.1	NC_007498.2	WP_011342200.1	-	2865203	2867599	NA	CDS	ppsA	NA	PF00391;PF01326;PF02896	phosphoenolpyruvate synthase	ppsA	else
WP_011342191.1	V	GCF_000012885.1	NC_007498.2	WP_041531381.1	-	2867875	2868240	NA	CDS	NA	NA	NA	hypothetical protein	hypothetical protein	else
WP_011342191.1	V	GCF_000012885.1	NC_007498.2	WP_158447428.1	+	2868576	2869652	NA	CDS	NA	NA	PF13406	lytic murein transglycosylase	PF13406	else
WP_011342191.1	V	GCF_000012885.1	NC_007498.2	WP_011342202.1	-	2869700	2870506	NA	CDS	NA	CC;CP	PF03618;COG1806;K09773;PF03618;K09773;COG1806;TIGR01313	Kinase/pyrophosphorylase	PF03618	else
WP_011342191.1	V	GCF_000012885.1	NC_007498.2	WP_245523291.1	-	2870585	2871514	NA	CDS	NA	CP	PF00459;K01092;COG0483;TIGR02067;PF00459;K01092;COG1218;TIGR02067;PF00459;K01092;TIGR02067;COG1218	3'-Phosphoadenosine 5'-phosphosulfate (PAPS) 3'-phosphatase;Archaeal fructose-1,6-bisphosphatase or related enzyme of inositol monophosphatase family;histidinol-phosphatase, inositol monophosphatase family	PF00459	else
WP_011342191.1	V	GCF_000012885.1	NC_007498.2	WP_011342204.1	-	2871576	2872925	NA	CDS	NA	CC	NA	hypothetical protein	hypothetical protein	else
WP_012025133.1	III	GCF_000016645.1	NC_009441.1	WP_012025119.1	+	3722344	3722904	NA	CDS	NA	CP	PF08020;COG4283;PF12867;COG4283;TIGR03084	DinB superfamily	PF12867	else
WP_012025133.1	III	GCF_000016645.1	NC_009441.1	WP_012025120.1	-	3722936	3724567	NA	CDS	NA	NA	PF00512;PF02518;PF13188	sensor histidine kinase	PF00512;PF02518;PF13188	else
WP_012025133.1	III	GCF_000016645.1	NC_009441.1	WP_012025121.1	-	3724573	3725586	NA	CDS	NA	CP	PF07228;K05518;COG0631;PF07228;PF13581;K05518;COG0631;TIGR01924;PF07228;PF13581;K05518;COG0631;TIGR01925	Stage II sporulation protein E (SpoIIE);Stage II sporulation protein E (SpoIIE); Histidine kinase-like ATPase domain	PF07228	else
WP_012025133.1	III	GCF_000016645.1	NC_009441.1	WP_012025122.1	-	3725579	3725992	NA	CDS	NA	CP	PF13581;K17752;TIGR01924;COG2172	serine-protein kinase RsbW	PF02518	else
WP_012025133.1	III	GCF_000016645.1	NC_009441.1	WP_012025123.1	-	3725973	3726371	NA	CDS	NA	NA	PF01740	STAS domain-containing protein	PF01740	else
WP_012025133.1	III	GCF_000016645.1	NC_009441.1	WP_044047790.1	-	3726390	3727217	NA	CDS	NA	CP	PF08678;PF01740;K17762;COG1366;TIGR02886;PF09385;PF01740;K17762;COG5439;TIGR02886;PF14361	anti-sigma F factor antagonist;Rsbr N terminal; STAS domain;RsbT co-antagonist protein rsbRD N-terminal domain	PF01740;PF14361	else
WP_012025133.1	III	GCF_000016645.1	NC_009441.1	WP_044048343.1	-	3727348	3728004	NA	CDS	NA	PC	PF20554	DUF6766 family protein	PF20554	else
WP_012025133.1	III	GCF_000016645.1	NC_009441.1	WP_012025126.1	-	3728030	3728209	NA	CDS	NA	NA	NA	hypothetical protein	hypothetical protein	else
WP_012025133.1	III	GCF_000016645.1	NC_009441.1	WP_012025127.1	+	3728514	3730655	NA	CDS	NA	NA	PF00199;PF06628;PF18011	catalase	PF00199;PF06628;PF18011	else
WP_012025133.1	III	GCF_000016645.1	NC_009441.1	WP_012025128.1	+	3730673	3731242	NA	CDS	NA	NA	PF05974	YciE/YciF ferroxidase family protein	PF05974	else
WP_012025133.1	III	GCF_000016645.1	NC_009441.1	WP_012025129.1	-	3731528	3733102	NA	CDS	NA	NA	PF00884	arylsulfatase	PF00884	else
WP_012025133.1	III	GCF_000016645.1	NC_009441.1	WP_012025130.1	-	3733139	3735511	NA	CDS	NA	NA	PF00884	arylsulfatase	PF00884	else
WP_012025133.1	III	GCF_000016645.1	NC_009441.1	WP_012025131.1	-	3735605	3736168	NA	CDS	NA	CC;CP	NA	hypothetical protein	hypothetical protein	else
WP_012025133.1	III	GCF_000016645.1	NC_009441.1	WP_012025132.1	+	3736350	3736763	NA	CDS	NA	NA	NA	helix-turn-helix domain-containing protein	helix-turn-helix domain-containing protein	else
WP_012025133.1	III	GCF_000016645.1	NC_009441.1	WP_012025133.1	-	3736916	3740617	tmn	CDS	NA	NA	PF20693	Tmn	Tmn	tmn
WP_012025133.1	III	GCF_000016645.1	NC_009441.1	WP_012025134.1	-	3740919	3742343	NA	CDS	NA	NA	PF00324	amino acid permease	PF00324	else
WP_012025133.1	III	GCF_000016645.1	NC_009441.1	WP_012025135.1	+	3742714	3743316	NA	CDS	NA	NA	PF14065	DUF4255 domain-containing protein	PF14065	else
WP_012025133.1	III	GCF_000016645.1	NC_009441.1	WP_012025136.1	+	3743313	3744149	NA	CDS	NA	CC	NA	hypothetical protein	hypothetical protein	else
WP_012025133.1	III	GCF_000016645.1	NC_009441.1	WP_012025137.1	+	3744171	3746273	NA	CDS	NA	NA	PF17482	phage tail sheath C-terminal domain-containing protein	PF17482	else
WP_012025133.1	III	GCF_000016645.1	NC_009441.1	WP_007806487.1	+	3746301	3746729	NA	CDS	NA	NA	PF06841	phage tail protein	PF06841	else
WP_012025133.1	III	GCF_000016645.1	NC_009441.1	WP_012025138.1	+	3746732	3747178	NA	CDS	NA	NA	PF06841;PF10400	phage tail protein	PF06841;PF10400	else
WP_012025133.1	III	GCF_000016645.1	NC_009441.1	WP_012025139.1	+	3747186	3747350	NA	CDS	NA	CC;CP	PF19265	DUF5908 family protein	PF19265	else
WP_012025133.1	III	GCF_000016645.1	NC_009441.1	WP_012025140.1	+	3747352	3748041	NA	CDS	NA	CP	PF19265	CIS tube protein	PF19266	else
WP_012025133.1	III	GCF_000016645.1	NC_009441.1	WP_012025141.1	+	3748042	3749787	NA	CDS	vgrG	NA	PF04717	type VI secretion system tip protein VgrG	vgrG	else
WP_012025133.1	III	GCF_000016645.1	NC_009441.1	WP_012025142.1	+	3749993	3750283	NA	CDS	NA	PC;VV	PF05488;COG4104	Zn-binding Pro-Ala-Ala-Arg (PAAR) domain, incolved in TypeVI secretion	PF05488	phage
WP_012025133.1	III	GCF_000016645.1	NC_009441.1	WP_012025143.1	+	3750286	3750696	NA	CDS	NA	NA	PF04965	GPW/gp25 family protein	PF04965	else
WP_012025133.1	III	GCF_000016645.1	NC_009441.1	WP_012025144.1	+	3750709	3754083	NA	CDS	NA	CP	PF19265;TIGR02243	putative baseplate assembly protein	PF04865	else
WP_228250943.1	III	GCF_000023465.1	NC_014041.1	WP_013072823.1	-	3679550	3679903	NA	CDS	tnpB	NA	PF05717	IS66 family insertion sequence element accessory protein TnpB	tnpB	else
WP_228250943.1	III	GCF_000023465.1	NC_014041.1	WP_013072824.1	-	3679903	3680169	NA	CDS	tnpA	NA	PF01527	IS66 family insertion sequence element accessory protein TnpA	tnpA	else
WP_228250943.1	III	GCF_000023465.1	NC_014041.1	ZPR_RS23050	+	3680271	3680549	NA	CDS	NA	NA	NA	CatA-like O-acetyltransferase	CatA-like O-acetyltransferase	else
WP_228250943.1	III	GCF_000023465.1	NC_014041.1	WP_041580061.1	-	3680867	3682852	NA	CDS	mobC	NA	PF02534;PF14293	conjugal transfer protein MobC	mobC	else
WP_228250943.1	III	GCF_000023465.1	NC_014041.1	WP_013072826.1	-	3682873	3684177	NA	CDS	NA	NA	PF03432	relaxase/mobilization nuclease domain-containing protein	PF03432	else
WP_228250943.1	III	GCF_000023465.1	NC_014041.1	WP_013072827.1	-	3684165	3684554	NA	CDS	NA	PP	PF19514	MobC-like protein	PF19514	plasmid
WP_228250943.1	III	GCF_000023465.1	NC_014041.1	WP_013072828.1	-	3684791	3685690	NA	CDS	NA	NA	PF01807;PF13155	toprim domain-containing protein	PF01807;PF13155	else
WP_228250943.1	III	GCF_000023465.1	NC_014041.1	WP_083759783.1	-	3685821	3686363	NA	CDS	NA	NA	PF13521	AAA family ATPase	PF13521	else
WP_228250943.1	III	GCF_000023465.1	NC_014041.1	WP_013072830.1	+	3686585	3686728	NA	CDS	NA	NA	NA	hypothetical protein	hypothetical protein	else
WP_228250943.1	III	GCF_000023465.1	NC_014041.1	WP_013072831.1	-	3686822	3686959	NA	CDS	NA	NA	NA	hypothetical protein	hypothetical protein	else
WP_228250943.1	III	GCF_000023465.1	NC_014041.1	WP_013072832.1	-	3687286	3687570	NA	CDS	NA	NA	NA	hypothetical protein	hypothetical protein	else
WP_228250943.1	III	GCF_000023465.1	NC_014041.1	WP_013072833.1	-	3687737	3688399	NA	CDS	NA	PP	PF21845	DUF6904 family protein	PF21845	plasmid
WP_228250943.1	III	GCF_000023465.1	NC_014041.1	WP_013072835.1	-	3688850	3692029	RM_type_I	CDS	NA	NA	PF04313;PF11867;PF18766;PF22679	REase_I	REase_I	RM_type_I
WP_228250943.1	III	GCF_000023465.1	NC_014041.1	WP_013072836.1	-	3692041	3693045	PDC-S02	CDS	NA	NA	PF06250;PF17761	PDC-S02	PDC-S02	else
WP_228250943.1	III	GCF_000023465.1	NC_014041.1	WP_013072837.1	-	3693108	3696725	tmn	CDS	NA	NA	PF20693	Tmn	Tmn	tmn
WP_228250943.1	III	GCF_000023465.1	NC_014041.1	WP_041579018.1	-	3696736	3697995	RM_type_I	CDS	NA	NA	PF01420	Specificity_I	Specificity_I	RM_type_I
WP_228250943.1	III	GCF_000023465.1	NC_014041.1	WP_013072839.1	-	3697979	3699544	RM_type_I	CDS	NA	NA	PF02384;PF12161	MTase_I	MTase_I	RM_type_I
WP_228250943.1	III	GCF_000023465.1	NC_014041.1	WP_013072841.1	-	3699797	3700288	NA	CDS	NA	NA	PF04266	ASCH domain-containing protein	PF04266	else
WP_228250943.1	III	GCF_000023465.1	NC_014041.1	WP_013072842.1	-	3700288	3702330	NA	CDS	NA	NA	NA	PIN domain-containing protein	PIN domain-containing protein	else
WP_228250943.1	III	GCF_000023465.1	NC_014041.1	WP_013072843.1	-	3702517	3703413	NA	CDS	NA	NA	PF13643	DUF4145 domain-containing protein	PF13643	else
WP_228250943.1	III	GCF_000023465.1	NC_014041.1	WP_013072844.1	-	3703556	3704212	NA	CDS	NA	NA	NA	hypothetical protein	hypothetical protein	else
WP_228250943.1	III	GCF_000023465.1	NC_014041.1	WP_148211754.1	-	3704536	3704946	NA	CDS	NA	NA	NA	hypothetical protein	hypothetical protein	else
WP_228250943.1	III	GCF_000023465.1	NC_014041.1	WP_041579020.1	+	3705688	3708663	NA	CDS	NA	NA	PF00593;PF07715;PF13715	SusC/RagA family TonB-linked outer membrane protein	PF00593;PF07715;PF13715	else
WP_228250943.1	III	GCF_000023465.1	NC_014041.1	WP_041579021.1	+	3708674	3710065	NA	CDS	NA	CP	PF12741;K21572;PF12741;K21572;COG5567;PF12741;PF16390;K21572	Susd and RagB outer membrane lipoprotein	PF07980;PF14322	else
WP_012857188.1	III	GCF_000024885.1	NC_013512.1	WP_012857175.1	+	1418288	1418977	NA	CDS	NA	NA	PF01553	lysophospholipid acyltransferase family protein	PF01553	else
WP_012857188.1	III	GCF_000024885.1	NC_013512.1	WP_012857176.1	+	1419109	1420980	NA	CDS	htpG	NA	PF00183;PF13589	molecular chaperone HtpG	htpG	else
WP_012857188.1	III	GCF_000024885.1	NC_013512.1	WP_012857177.1	+	1421132	1422040	RM_type_IV	CDS	NA	NA	PF04471;PF14338	mREase_IV	mREase_IV	RM_type_IV
WP_012857188.1	III	GCF_000024885.1	NC_013512.1	WP_012857178.1	-	1422198	1423943	NA	CDS	NA	NA	PF03190	thioredoxin domain-containing protein	PF03190	else
WP_012857188.1	III	GCF_000024885.1	NC_013512.1	WP_012857179.1	-	1424170	1426200	NA	CDS	NA	NA	PF00580;PF13361	ATP-dependent helicase	PF00580;PF13361	else
WP_012857188.1	III	GCF_000024885.1	NC_013512.1	WP_012857180.1	-	1426267	1426803	NA	CDS	NA	CC	NA	hypothetical protein	hypothetical protein	else
WP_012857188.1	III	GCF_000024885.1	NC_013512.1	WP_012857181.1	-	1426800	1427462	NA	CDS	NA	NA	PF12895	CDC27 family protein	PF12895	else
WP_012857188.1	III	GCF_000024885.1	NC_013512.1	WP_012857182.1	-	1427452	1428252	NA	CDS	NA	NA	PF13401	ATP-binding protein	PF13401	else
WP_012857188.1	III	GCF_000024885.1	NC_013512.1	WP_012857183.1	-	1428326	1428850	NA	CDS	NA	NA	NA	flagellar basal body-associated FliL family protein	flagellar basal body-associated FliL family protein	else
WP_012857188.1	III	GCF_000024885.1	NC_013512.1	WP_012857184.1	-	1428861	1429373	NA	CDS	NA	NA	NA	hypothetical protein	hypothetical protein	else
WP_012857188.1	III	GCF_000024885.1	NC_013512.1	WP_012857185.1	-	1429408	1430736	NA	CDS	NA	NA	PF05970	ATP-dependent DNA helicase	PF05970	else
WP_012857188.1	III	GCF_000024885.1	NC_013512.1	WP_012857186.1	+	1430794	1432794	NA	CDS	NA	CP	PF12912;PF12913;PF12913;PF12912;PF12914;K20742;COG5567	NLPC_P60 stabilising domain, N term;SH3 domain (SH3b1 type);SH3 domain (SH3b1 type); NLPC_P60 stabilising domain, N term; SH3 domain of SH3b2 type	PF00877;PF12912;PF12913;PF12914;PF13539	else
